Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Uhmk1,ENSMUSG00000026667,Sex,male,1,0.5291,0.0848,0.3628,0.6953,38.90,4e-10,7.0969239e-6,0.7633113162,0.1223797202,5.1489298493,1.6973820385
,ENSMUSG00000118607,Sex,male,1,-0.9323,0.1584,-1.2427,-0.6219,34.66,3.9e-9,0.0000313489,-1.344980292,0.2284692762,4.503777718,0.3936593657
Fcrl5,ENSMUSG00000048031,Sex,male,1,-1.9455,0.3354,-2.6028,-1.2882,33.65,6.6e-9,0.0000350232,-2.806742554,0.4838410607,4.4556439619,0.1429177931
Ddx3y,ENSMUSG00000069045,Sex,male,1,2.8425,0.5014,1.8598,3.8252,32.14,1.4e-8,0.0000571258,4.1008584946,0.7233470341,4.2431679307,17.158582803
Mzb1,ENSMUSG00000024353,Sex,male,1,-1.1104,0.2014,-1.5051,-0.7156,30.39,3.5e-8,0.0000989651,-1.60190495,0.2905802622,4.00451774,0.3294416921
Nmi,ENSMUSG00000026946,Sex,male,1,-0.8528,0.1550,-1.1565,-0.5491,30.29,3.7e-8,0.0000989651,-1.230306621,0.223555784,4.00451774,0.4262268489
Mybbp1a,ENSMUSG00000040463,Sex,male,1,-1.0836,0.1991,-1.4738,-0.6934,29.63,5.2e-8,0.0001192401,-1.563351523,0.2872205539,3.9235775355,0.338364115
Rtn4,ENSMUSG00000020458,Sex,male,1,0.8748,0.1620,0.5573,1.1922,29.16,6.7e-8,0.0001325341,1.2620107487,0.2336936211,3.8776724649,2.3982976959
Nbdy,ENSMUSG00000086316,Sex,male,1,0.8351,0.1577,0.5260,1.1441,28.04,1.2e-7,0.0002104488,1.2047227373,0.227510516,3.6768534947,2.3049296808
Ocel1,ENSMUSG00000002396,Sex,male,1,-0.9334,0.1786,-1.2834,-0.5835,27.33,1.7e-7,0.0002488699,-1.346658878,0.257609363,3.6040275542,0.3932016068
Ric8a,ENSMUSG00000025485,Sex,male,1,0.4829,0.0921,0.3024,0.6634,27.48,1.6e-7,0.0002488699,0.6966699976,0.1328904679,3.6040275542,1.6207594644
Mif4gd,ENSMUSG00000020743,Sex,male,1,-0.7664,0.1471,-1.0547,-0.4780,27.14,1.9e-7,0.0002517242,-1.105644778,0.2122447579,3.5990749976,0.4646947408
Utp6,ENSMUSG00000035575,Sex,male,1,-0.6916,0.1337,-0.9536,-0.4296,26.76,2.3e-7,0.0002823775,-0.997757987,0.1928780949,3.5491699648,0.5007776266
Rida,ENSMUSG00000022323,Sex,male,1,0.9492,0.1855,0.5856,1.3129,26.18,3.1e-7,0.0003546574,1.3694509669,0.2676644403,3.4501909245,2.583722211
Peg10,ENSMUSG00000092035,Sex,male,1,0.9843,0.1942,0.6038,1.3648,25.70,4e-7,0.0004232821,1.4200248167,0.2801004272,3.3733701247,2.675901139
Ppm1m,ENSMUSG00000020253,Sex,male,1,-0.4660,0.0926,-0.6474,-0.2845,25.32,4.9e-7,0.0004661151,-0.672236951,0.133591203,3.3315067973,0.62753292
Pfkl,ENSMUSG00000020277,Sex,male,1,-0.6219,0.1247,-0.8664,-0.3775,24.87,6.1e-7,0.0004661151,-0.897269839,0.1799139556,3.3315067973,0.5369018053
Thbs1,ENSMUSG00000040152,Sex,male,1,0.9027,0.1812,0.5476,1.2578,24.82,6.3e-7,0.0004661151,1.3022731357,0.2613868586,3.3315067973,2.4661715104
Serpinb6a,ENSMUSG00000060147,Sex,male,1,0.9807,0.1951,0.5982,1.3631,25.25,5e-7,0.0004661151,1.4148015044,0.2815369879,3.3315067973,2.6662304911
Snrpa,ENSMUSG00000061479,Sex,male,1,-0.8699,0.1745,-1.2119,-0.5278,24.84,6.2e-7,0.0004661151,-1.254976157,0.2517870195,3.3315067973,0.4190004918
Hist1h2ac,ENSMUSG00000069270,Sex,male,1,1.1026,0.2215,0.6685,1.5368,24.78,6.4e-7,0.0004661151,1.5907205092,0.3195709227,3.3315067973,3.0119973677
Gm3379,ENSMUSG00000113625,Sex,male,1,-2.3331,0.4668,-3.2480,-1.4181,24.98,5.8e-7,0.0004661151,-3.36592735,0.6734847646,3.3315067973,0.0969962411
Fyco1,ENSMUSG00000025241,Sex,male,1,0.5756,0.1165,0.3473,0.8038,24.42,7.7e-7,0.0005355992,0.830382629,0.1680240142,3.2711600618,1.7781568994
Ankrd28,ENSMUSG00000014496,Sex,male,1,0.9429,0.1933,0.5640,1.3218,23.79,1.1e-6,0.0006854231,1.3603325511,0.2789095601,3.1640412685,2.5674435402
Cd84,ENSMUSG00000038147,Sex,male,1,0.6425,0.1316,0.3845,0.9004,23.83,1.1e-6,0.0006854231,0.9268769559,0.1898710882,3.1640412685,1.9011560504
Napsa,ENSMUSG00000002204,Sex,male,1,-0.8042,0.1656,-1.1288,-0.4797,23.58,1.2e-6,0.00073304,-1.160263658,0.2389197138,3.1348723439,0.4474307584
Gm20594,ENSMUSG00000096887,Sex,male,1,1.7795,0.3686,1.0571,2.5020,23.31,1.4e-6,0.0008149143,2.5673170415,0.5317823033,3.0888880443,5.9270615588
1110032A03Rik,ENSMUSG00000037971,Sex,male,1,0.7783,0.1621,0.4606,1.0960,23.06,1.6e-6,0.0008949253,1.1229067086,0.233851517,3.0482132017,2.177853196
Zwint,ENSMUSG00000019923,Sex,male,1,0.6038,0.1265,0.3558,0.8518,22.77,1.8e-6,0.001003926,0.8711098852,0.1825586665,2.9982983096,1.8290694877
Itgb1,ENSMUSG00000025809,Sex,male,1,0.7484,0.1581,0.4385,1.0583,22.40,2.2e-6,0.0011122473,1.0797128062,0.2281398005,2.9537986345,2.1136152869
Fcmr,ENSMUSG00000042474,Sex,male,1,-0.8342,0.1759,-1.1790,-0.4895,22.50,2.1e-6,0.0011122473,-1.203546962,0.2537438842,2.9537986345,0.4342064427
BC030336,ENSMUSG00000046096,Sex,male,1,0.7949,0.1680,0.4656,1.1242,22.38,2.2e-6,0.0011122473,1.146769986,0.2423920617,2.9537986345,2.2141761269
Gimap7,ENSMUSG00000043931,Sex,male,1,-0.9115,0.1933,-1.2903,-0.5327,22.24,2.4e-6,0.0011624142,-1.314975361,0.2788427507,2.9346390867,0.4019323597
Dstn,ENSMUSG00000015932,Sex,male,1,0.7298,0.1551,0.4257,1.0338,22.13,2.6e-6,0.0011971498,1.0528089264,0.2238235462,2.9218515097,2.0745650951
Dbnl,ENSMUSG00000020476,Sex,male,1,-0.4125,0.0883,-0.5856,-0.2395,21.84,3e-6,0.0013477419,-0.595173692,0.1273490684,2.8703932548,0.6619647537
Sgip1,ENSMUSG00000028524,Sex,male,1,2.6060,0.5598,1.5088,3.7031,21.67,3.2e-6,0.0014097601,3.7596065821,0.807577394,2.8508547866,13.544231029
Ptprcap,ENSMUSG00000045826,Sex,male,1,-0.6507,0.1398,-0.9248,-0.3766,21.65,3.3e-6,0.0014097601,-0.938768057,0.2017608081,2.8508547866,0.5216781604
Tsc22d1,ENSMUSG00000022010,Sex,male,1,0.9470,0.2039,0.5473,1.3466,21.57,3.4e-6,0.0014313735,1.3661611765,0.2941627638,2.8442470322,2.5778372384
Vmn1r13,ENSMUSG00000064259,Sex,male,1,2.4528,0.5302,1.4136,3.4920,21.40,3.7e-6,0.0015229681,3.5386452634,0.7649418017,2.8173092069,11.620862653
Sec11c,ENSMUSG00000024516,Sex,male,1,0.4792,0.1041,0.2752,0.6832,21.20,4.1e-6,0.0016178815,0.6913553757,0.1501359888,2.7910532837,1.6147998699
Olfr646,ENSMUSG00000073931,Sex,male,1,3.0304,0.6583,1.7401,4.3207,21.19,4.2e-6,0.0016178815,4.3719371008,0.9497836202,2.7910532837,20.705427728
Psmc5,ENSMUSG00000020708,Sex,male,1,-0.5663,0.1234,-0.8081,-0.3245,21.07,4.4e-6,0.0016787201,-0.816990968,0.177979338,2.775021716,0.5676246048
Ptpn22,ENSMUSG00000027843,Sex,male,1,-0.7941,0.1734,-1.1340,-0.4542,20.96,4.7e-6,0.0017222684,-1.145633972,0.2502209891,2.7638991656,0.4519910242
F13a1,ENSMUSG00000039109,Sex,male,1,0.8601,0.1880,0.4917,1.2286,20.93,4.8e-6,0.0017222684,1.2408924866,0.2712160075,2.7638991656,2.363446957
Mylk,ENSMUSG00000022836,Sex,male,1,0.9455,0.2077,0.5384,1.3525,20.73,5.3e-6,0.0018199251,1.3640047529,0.2996098528,2.7399464854,2.5739869745
Rtn3,ENSMUSG00000024758,Sex,male,1,0.6464,0.1421,0.3679,0.9248,20.70,5.4e-6,0.0018199251,0.9325335713,0.2049581655,2.7399464854,1.9086248629
Lrrn3,ENSMUSG00000036295,Sex,male,1,0.9263,0.2033,0.5278,1.3248,20.76,5.2e-6,0.0018199251,1.3363138393,0.2933211505,2.7399464854,2.5250532965
Tmsb4x,ENSMUSG00000049775,Sex,male,1,0.6598,0.1453,0.3750,0.9446,20.61,5.6e-6,0.0018652529,0.9518636811,0.2096497606,2.72926227,1.9343698738
Nsfl1c,ENSMUSG00000027455,Sex,male,1,-0.6397,0.1414,-0.9168,-0.3626,20.47,6.1e-6,0.0018947589,-0.922906076,0.2039959494,2.722446039,0.5274454957
Rhof,ENSMUSG00000029449,Sex,male,1,-0.5619,0.1242,-0.8052,-0.3186,20.48,6e-6,0.0018947589,-0.810651294,0.1791216166,2.722446039,0.5701244215
Igkv6-15,ENSMUSG00000094797,Sex,male,1,-2.1782,0.4811,-3.1211,-1.2354,20.50,6e-6,0.0018947589,-3.142534513,0.6940203283,2.722446039,0.1132407792
Tomm40l,ENSMUSG00000005674,Sex,male,1,-0.8940,0.1980,-1.2820,-0.5060,20.39,6.3e-6,0.0019013979,-1.289717736,0.2856067742,2.7209270005,0.4090310485
Erlec1,ENSMUSG00000020311,Sex,male,1,0.7560,0.1674,0.4279,1.0842,20.39,6.3e-6,0.0019013979,1.0907458049,0.2415690551,2.7209270005,2.1298411072
Tmbim1,ENSMUSG00000006301,Sex,male,1,1.1697,0.2599,0.6603,1.6792,20.26,6.8e-6,0.0020000111,1.6875750432,0.3749702856,2.6989676043,3.2211482107
Cct5,ENSMUSG00000022234,Sex,male,1,-0.4927,0.1103,-0.7088,-0.2766,19.96,7.9e-6,0.0022466533,-0.710772593,0.1590806391,2.6484639339,0.610992852
Gm45716,ENSMUSG00000110344,Sex,male,1,1.0179,0.2277,0.5717,1.4642,19.99,7.8e-6,0.0022466533,1.4685749306,0.3284956742,2.6484639339,2.7674839126
Pea15a,ENSMUSG00000013698,Sex,male,1,0.6807,0.1531,0.3807,0.9808,19.78,8.7e-6,0.0022732229,0.9821115225,0.2208410316,2.643357982,1.9753544149
Stk4,ENSMUSG00000018209,Sex,male,1,0.3645,0.0819,0.2040,0.5250,19.82,8.5e-6,0.0022732229,0.5259130661,0.118134992,2.643357982,1.4398445538
Rps26,ENSMUSG00000025362,Sex,male,1,-0.5423,0.1216,-0.7807,-0.3039,19.88,8.3e-6,0.0022732229,-0.78241048,0.175494023,2.643357982,0.581394577
Ctnnbl1,ENSMUSG00000027649,Sex,male,1,-0.6874,0.1543,-0.9899,-0.3849,19.84,8.4e-6,0.0022732229,-0.9917484,0.222667693,2.643357982,0.5028679805
Slc38a6,ENSMUSG00000044712,Sex,male,1,2.1879,0.4917,1.2242,3.1516,19.80,8.6e-6,0.0022732229,3.1564532584,0.7093782545,2.643357982,8.916350059
Rap1b,ENSMUSG00000052681,Sex,male,1,0.6098,0.1374,0.3405,0.8792,19.69,9.1e-6,0.002341728,0.8798186185,0.1982798017,2.6304635541,1.8401439364
Tmem158,ENSMUSG00000054871,Sex,male,1,0.8482,0.1918,0.4722,1.2242,19.55,9.8e-6,0.0024786811,1.2236589771,0.2767489824,2.6057793463,2.3353826884
Pear1,ENSMUSG00000028073,Sex,male,1,0.8241,0.1868,0.4580,1.1902,19.46,1e-5,0.0025517609,1.1889231388,0.2694834771,2.5931600214,2.2798250819
Rps6ka1,ENSMUSG00000003644,Sex,male,1,-0.4613,0.1052,-0.6676,-0.2550,19.21,1.2e-5,0.0028268931,-0.665511521,0.1518411316,2.5486906178,0.6304651274
Klkb1,ENSMUSG00000109764,Sex,male,1,2.2538,0.5138,1.2467,3.2609,19.24,1.2e-5,0.0028268931,3.2515398029,0.7413209719,2.5486906178,9.5238163619
Ppif,ENSMUSG00000021868,Sex,male,1,0.8543,0.1953,0.4716,1.2370,19.14,1.2e-5,0.0028885866,1.2324944697,0.2817153912,2.5393146135,2.3497291513
Cd44,ENSMUSG00000005087,Sex,male,1,0.4928,0.1129,0.2715,0.7141,19.04,1.3e-5,0.0029438563,0.7109790629,0.1629187776,2.5310833981,1.6369146074
Aprt,ENSMUSG00000006589,Sex,male,1,-0.6433,0.1476,-0.9326,-0.3540,18.99,1.3e-5,0.0029438563,-0.92810614,0.2129587425,2.5310833981,0.5255477881
Kif2a,ENSMUSG00000021693,Sex,male,1,0.7884,0.1805,0.4346,1.1423,19.07,1.3e-5,0.0029438563,1.1374398041,0.2604563961,2.5310833981,2.1999028345
Prdx6,ENSMUSG00000026701,Sex,male,1,0.7320,0.1679,0.4030,1.0610,19.01,1.3e-5,0.0029438563,1.0560658572,0.2421935519,2.5310833981,2.0792537835
D5Ertd579e,ENSMUSG00000029190,Sex,male,1,0.8071,0.1856,0.4433,1.1709,18.91,1.4e-5,0.0030333879,1.1644614992,0.2677834004,2.5180720508,2.2414953387
Platr17,ENSMUSG00000092349,Sex,male,1,-2.4768,0.5713,-3.5965,-1.3572,18.80,1.5e-5,0.0031722791,-3.573302286,0.8241663385,2.4986286064,0.0840095829
Myo1e,ENSMUSG00000032220,Sex,male,1,-1.0328,0.2386,-1.5003,-0.5652,18.74,1.5e-5,0.0032232953,-1.489948664,0.3441665072,2.4916999049,0.3560252173
Ubap1,ENSMUSG00000028437,Sex,male,1,0.7691,0.1781,0.4201,1.1182,18.65,1.6e-5,0.0033342216,1.1096016555,0.2569277283,2.4770055435,2.1578605809
Ppil3,ENSMUSG00000026035,Sex,male,1,0.6678,0.1548,0.3644,0.9712,18.61,1.6e-5,0.003369695,0.9634143151,0.2233502869,2.4724094042,1.9499191618
Slc44a1,ENSMUSG00000028412,Sex,male,1,0.7978,0.1852,0.4349,1.1607,18.57,1.6e-5,0.0033813887,1.1510334372,0.2671231167,2.4709048992,2.2207291363
Fcho2,ENSMUSG00000041685,Sex,male,1,1.0714,0.2488,0.5838,1.5590,18.55,1.7e-5,0.0033813887,1.5457203389,0.3588891229,2.4709048992,2.9194980326
Rilpl2,ENSMUSG00000029401,Sex,male,1,-1.0487,0.2444,-1.5277,-0.5696,18.41,1.8e-5,0.0035983977,-1.512908682,0.3526309933,2.443890841,0.350404041
Larp1b,ENSMUSG00000025762,Sex,male,1,0.9781,0.2286,0.5300,1.4262,18.30,1.9e-5,0.0037204354,1.4110846084,0.3298674746,2.4294062367,2.6593701735
Polr2f,ENSMUSG00000033020,Sex,male,1,-0.7780,0.1819,-1.1345,-0.4215,18.30,1.9e-5,0.0037204354,-1.122472008,0.2624211405,2.4294062367,0.4593061456
Lamp2,ENSMUSG00000016534,Sex,male,1,0.6581,0.1543,0.3557,0.9605,18.20,2e-5,0.0038703753,0.9494779606,0.2225899363,2.4122469218,1.931173736
Atp8a1,ENSMUSG00000037685,Sex,male,1,0.8025,0.1882,0.4335,1.1714,18.17,2e-5,0.0038703753,1.157753698,0.2715744462,2.4122469218,2.2310977112
Ahrr,ENSMUSG00000021575,Sex,male,1,-3.7707,0.8853,-5.5059,-2.0354,18.14,2.1e-5,0.0038956789,-5.439924956,1.2772820691,2.4094168502,0.0230366548
Ruvbl1,ENSMUSG00000030079,Sex,male,1,-0.8154,0.1926,-1.1929,-0.4379,17.92,2.3e-5,0.0043147794,-1.176371975,0.277877044,2.3650414033,0.4424627859
Asap1,ENSMUSG00000022377,Sex,male,1,0.6437,0.1523,0.3453,0.9422,17.87,2.4e-5,0.0043817621,0.9287159867,0.2196932635,2.3583512017,1.9035810354
Traf3ip3,ENSMUSG00000037318,Sex,male,1,-0.6071,0.1438,-0.8888,-0.3253,17.83,2.4e-5,0.004416213,-0.875791244,0.2073878418,2.3549499866,0.5449549046
Eif3d,ENSMUSG00000016554,Sex,male,1,-0.7691,0.1826,-1.1270,-0.4113,17.75,2.5e-5,0.004572189,-1.109613534,0.2634061874,2.3398758267,0.4634181539
Csk,ENSMUSG00000032312,Sex,male,1,-0.3085,0.0733,-0.4522,-0.1648,17.71,2.6e-5,0.0046175117,-0.445087827,0.1057774631,2.3355919984,0.7345395988
Nudt3,ENSMUSG00000024213,Sex,male,1,0.6974,0.1660,0.3720,1.0227,17.65,2.7e-5,0.0047114228,1.0060663793,0.2395000646,2.3268479208,2.0084274933
Gng11,ENSMUSG00000032766,Sex,male,1,0.9159,0.2185,0.4875,1.3442,17.56,2.8e-5,0.0048670793,1.3213531877,0.3152968165,2.3127315779,2.4990039602
Pgm2l1,ENSMUSG00000030729,Sex,male,1,0.7056,0.1686,0.3752,1.0359,17.52,2.8e-5,0.0049154097,1.0179454043,0.2431727668,2.3084402804,2.0250329802
Cct3,ENSMUSG00000001416,Sex,male,1,-0.8952,0.2152,-1.3170,-0.4735,17.31,3.2e-5,0.0052661474,-1.291570162,0.310435031,2.2785069923,0.4085061883
Ehmt2,ENSMUSG00000013787,Sex,male,1,-0.7066,0.1700,-1.0398,-0.3734,17.27,3.2e-5,0.0052661474,-1.019361501,0.2452746391,2.2785069923,0.4933346408
Tollip,ENSMUSG00000025139,Sex,male,1,0.6296,0.1512,0.3332,0.9260,17.33,3.1e-5,0.0052661474,0.9083323182,0.2181842429,2.2785069923,1.8768746728
Afap1l1,ENSMUSG00000033032,Sex,male,1,0.9510,0.2288,0.5026,1.3995,17.28,3.2e-5,0.0052661474,1.3720722262,0.3300698236,2.2785069923,2.5884208908
R3hdm1,ENSMUSG00000056211,Sex,male,1,0.6306,0.1515,0.3336,0.9275,17.32,3.2e-5,0.0052661474,0.909692401,0.2185879292,2.2785069923,1.8786449072
Gm43960,ENSMUSG00000108249,Sex,male,1,1.9315,0.4639,1.0224,2.8407,17.34,3.1e-5,0.0052661474,2.7866050299,0.6692091802,2.2785069923,6.900041457
Lamp1,ENSMUSG00000031447,Sex,male,1,0.4792,0.1154,0.2530,0.7055,17.23,3.3e-5,0.00532656,0.6913928327,0.1665577598,2.273553177,1.6148417959
Cd151,ENSMUSG00000025510,Sex,male,1,0.8936,0.2161,0.4701,1.3171,17.10,3.5e-5,0.0056383204,1.2892097255,0.3117250463,2.248850247,2.4439414549
Gm9973,ENSMUSG00000113175,Sex,male,1,1.9690,0.4764,1.0353,2.9027,17.08,3.6e-5,0.005643944,2.8406622349,0.6872770344,2.2484173045,7.163488042
Csrp1,ENSMUSG00000026421,Sex,male,1,0.7805,0.1889,0.4102,1.1508,17.06,3.6e-5,0.0056454006,1.1260042455,0.2725815484,2.2483052347,2.1825341767
Pja1,ENSMUSG00000034403,Sex,male,1,-0.7893,0.1914,-1.1644,-0.4143,17.01,3.7e-5,0.0057450456,-1.138766085,0.2760898795,2.2407065201,0.4541478372
Rcn3,ENSMUSG00000019539,Sex,male,1,-1.1166,0.2712,-1.6481,-0.5851,16.95,3.8e-5,0.0057597456,-1.610918637,0.3912447969,2.2395966999,0.327389819
Pum2,ENSMUSG00000020594,Sex,male,1,0.7710,0.1872,0.4041,1.1378,16.97,3.8e-5,0.0057597456,1.1123052116,0.270027198,2.2395966999,2.1619081215
Cd19,ENSMUSG00000030724,Sex,male,1,-0.6059,0.1471,-0.8942,-0.3175,16.96,3.8e-5,0.0057597456,-0.874078832,0.2122301339,2.2395966999,0.5456021248
Mpl,ENSMUSG00000006389,Sex,male,1,0.8557,0.2083,0.4475,1.2638,16.88,4e-5,0.0058169681,1.2344500769,0.3004480555,2.2353033216,2.3529164243
Apobec3,ENSMUSG00000009585,Sex,male,1,-0.4596,0.1118,-0.6788,-0.2405,16.90,4e-5,0.0058169681,-0.663098785,0.1613231785,2.2353033216,0.6315203876
Grap2,ENSMUSG00000042351,Sex,male,1,0.6313,0.1536,0.3303,0.9323,16.89,4e-5,0.0058169681,0.9107772385,0.2215907131,2.2353033216,1.8800580894
Sord,ENSMUSG00000027227,Sex,male,1,0.7948,0.1936,0.4154,1.1743,16.86,4e-5,0.0058423076,1.1467178223,0.2793069629,2.2334155805,2.21409607
Cd59a,ENSMUSG00000032679,Sex,male,1,0.8297,0.2028,0.4322,1.2273,16.73,4.3e-5,0.0061004804,1.1970575376,0.2926315625,2.2146359654,2.2927158078
Oas1a,ENSMUSG00000052776,Sex,male,1,-0.9341,0.2284,-1.3817,-0.4864,16.72,4.3e-5,0.0061004804,-1.347564712,0.3295311668,2.2146359654,0.3929548023
AC160962.1,ENSMUSG00000114432,Sex,male,1,0.7624,0.1864,0.3971,1.1276,16.74,4.3e-5,0.0061004804,1.0998742272,0.2688538118,2.2146359654,2.1433600607
Ly6g6c,ENSMUSG00000092586,Sex,male,1,1.0521,0.2581,0.5463,1.5580,16.62,4.6e-5,0.0063868142,1.5179263583,0.3723476569,2.1947157147,2.8637912978
Maged2,ENSMUSG00000025268,Sex,male,1,0.9853,0.2421,0.5107,1.4598,16.56,4.7e-5,0.0064717307,1.4214298595,0.3492874289,2.1889795651,2.6785084725
Ppm1b,ENSMUSG00000061130,Sex,male,1,0.5872,0.1443,0.3045,0.8700,16.57,4.7e-5,0.0064717307,0.8471984703,0.2081126601,2.1889795651,1.7990040947
Nelfe,ENSMUSG00000024369,Sex,male,1,-0.8142,0.2002,-1.2066,-0.4217,16.53,4.8e-5,0.0065094331,-1.174572974,0.2888655016,2.1864568311,0.4430148691
Slamf1,ENSMUSG00000015316,Sex,male,1,0.8154,0.2009,0.4216,1.2091,16.48,4.9e-5,0.0065998126,1.1763146702,0.289805079,2.1804683941,2.2599873075
Tnip1,ENSMUSG00000020400,Sex,male,1,-0.4305,0.1060,-0.6383,-0.2226,16.48,4.9e-5,0.0065998126,-0.621043931,0.1529807605,2.1804683941,0.6502002738
Ltb,ENSMUSG00000024399,Sex,male,1,-0.4043,0.0998,-0.6000,-0.2087,16.40,5.1e-5,0.0067976891,-0.583315929,0.1440242359,2.1676386993,0.6674279789
Ppp6r1,ENSMUSG00000052296,Sex,male,1,0.4978,0.1234,0.2560,0.7396,16.28,5.5e-5,0.0071802589,0.7182220262,0.1779828213,2.1438598968,1.6451533018
Cep85,ENSMUSG00000037443,Sex,male,1,1.8578,0.4608,0.9548,2.7609,16.26,5.5e-5,0.0072191218,2.6802553724,0.6647221621,2.1415156318,6.4096935043
Hspa8,ENSMUSG00000015656,Sex,male,1,-0.5771,0.1434,-0.8582,-0.2960,16.19,5.7e-5,0.0074164208,-0.832538372,0.206899235,2.1298056373,0.5615403619
Cflar,ENSMUSG00000026031,Sex,male,1,0.7553,0.1880,0.3868,1.1239,16.14,5.9e-5,0.0075257974,1.0897073277,0.2712722555,2.1234474796,2.1283085618
Ddx54,ENSMUSG00000029599,Sex,male,1,-0.5485,0.1366,-0.8162,-0.2809,16.13,5.9e-5,0.0075257974,-0.791325086,0.197011962,2.1234474796,0.5778131385
Nhp2,ENSMUSG00000001056,Sex,male,1,-0.8955,0.2243,-1.3351,-0.4559,15.94,6.5e-5,0.0078334956,-1.291875786,0.3235760069,2.1060443979,0.4084196583
Ddx56,ENSMUSG00000004393,Sex,male,1,-0.8088,0.2020,-1.2047,-0.4129,16.03,6.2e-5,0.0078334956,-1.166877769,0.2914153408,2.1060443979,0.4453841835
Vdac1,ENSMUSG00000020402,Sex,male,1,0.5121,0.1282,0.2609,0.7633,15.96,6.5e-5,0.0078334956,0.7387523162,0.1849006893,2.1060443979,1.6687320476
Slc6a4,ENSMUSG00000020838,Sex,male,1,0.8943,0.2239,0.4554,1.3332,15.95,6.5e-5,0.0078334956,1.2902352919,0.3230736772,2.1060443979,2.4456793933
Parvb,ENSMUSG00000022438,Sex,male,1,0.8431,0.2108,0.4299,1.2563,15.99,6.4e-5,0.0078334956,1.2163050208,0.3041422333,2.1060443979,2.3235086581
F5,ENSMUSG00000026579,Sex,male,1,0.8170,0.2046,0.4160,1.2180,15.95,6.5e-5,0.0078334956,1.1787188505,0.2951756283,2.1060443979,2.2637566049
Ccl5,ENSMUSG00000035042,Sex,male,1,-1.6305,0.4077,-2.4296,-0.8314,15.99,6.4e-5,0.0078334956,-2.352251754,0.5882083619,2.1060443979,0.1958401191
Gimap1,ENSMUSG00000090019,Sex,male,1,-0.5878,0.1469,-0.8757,-0.2999,16.01,6.3e-5,0.0078334956,-0.848052016,0.2119164877,2.1060443979,0.5555343344
,ENSMUSG00000118499,Sex,male,1,1.2460,0.3123,0.6338,1.8582,15.91,6.6e-5,0.0078842594,1.7975893006,0.4506154012,2.1032390968,3.4763884583
Ubtf,ENSMUSG00000020923,Sex,male,1,-0.4280,0.1074,-0.6385,-0.2174,15.87,6.8e-5,0.0079093028,-0.617414107,0.1550053841,2.1018617987,0.651838239
Aldh1a7,ENSMUSG00000024747,Sex,male,1,1.6673,0.4182,0.8475,2.4870,15.89,6.7e-5,0.0079093028,2.4053539042,0.6033776373,2.1018617987,5.2976550379
Ptprt,ENSMUSG00000053141,Sex,male,1,2.0160,0.5059,1.0244,3.0076,15.88,6.8e-5,0.0079093028,2.9084258413,0.7298935865,2.1018617987,7.5079853825
Gimap3,ENSMUSG00000039264,Sex,male,1,-0.7238,0.1821,-1.0806,-0.3669,15.80,7e-5,0.0081108267,-1.04415754,0.2626502741,2.0909348776,0.4849279988
Gm30023,ENSMUSG00000104695,Sex,male,1,-1.7537,0.4418,-2.6195,-0.8878,15.76,7.2e-5,0.008251895,-2.52999272,0.6373352678,2.0834463069,0.1731395572
Eif3f,ENSMUSG00000031029,Sex,male,1,-0.4855,0.1224,-0.7254,-0.2457,15.74,7.3e-5,0.0082791978,-0.700479976,0.1765702602,2.0820117432,0.6153674434
Mbnl1,ENSMUSG00000027763,Sex,male,1,0.5172,0.1306,0.2614,0.7731,15.70,7.4e-5,0.0084048922,0.7462071591,0.1883480049,2.0754678518,1.6773772091
Ly6e,ENSMUSG00000022587,Sex,male,1,-0.5947,0.1503,-0.8893,-0.3000,15.65,7.6e-5,0.0085639384,-0.857937171,0.2168870141,2.0673264644,0.5517408977
Smarcb1,ENSMUSG00000000902,Sex,male,1,-0.5357,0.1356,-0.8014,-0.2700,15.61,7.8e-5,0.0086526332,-0.77281578,0.1955730818,2.0628517056,0.5852740505
Erp29,ENSMUSG00000029616,Sex,male,1,-0.5318,0.1350,-0.7964,-0.2672,15.52,8.2e-5,0.0089932521,-0.767167619,0.1947637463,2.0460832323,0.5875698935
Ptpn11,ENSMUSG00000043733,Sex,male,1,0.6051,0.1536,0.3041,0.9060,15.53,8.1e-5,0.0089932521,0.872923231,0.2215426296,2.0460832323,1.831369919
Stom,ENSMUSG00000026880,Sex,male,1,0.6204,0.1576,0.3116,0.9293,15.50,8.2e-5,0.0089971308,0.895084868,0.2273397575,2.0458959679,1.8597192819
Miga1,ENSMUSG00000054942,Sex,male,1,2.3341,0.5940,1.1699,3.4983,15.44,8.5e-5,0.0092258297,3.3673994855,0.8569446754,2.0349945656,10.320203297
Maoa,ENSMUSG00000025037,Sex,male,1,3.3713,0.8600,1.6858,5.0568,15.37,8.8e-5,0.0094839769,4.8637815449,1.2406798725,2.0230095125,29.116833121
Arhgap18,ENSMUSG00000039031,Sex,male,1,0.7369,0.1880,0.3684,1.1053,15.36,8.9e-5,0.0094839769,1.0630873057,0.2712203599,2.0230095125,2.0893979632
Hacd4,ENSMUSG00000028497,Sex,male,1,0.6942,0.1773,0.3468,1.0417,15.34,9e-5,0.0095516792,1.0015732781,0.2557437132,2.0199202737,2.0021822162
