Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Raf1,ENSMUSG00000000441,Sex,male,1,0.2270,0.2100,-0.1846,0.6385,1.17,2.8e-1,0.7141955329,0.3274204436,0.3028993085,0.1461828706,1.2547678274
Gfra2,ENSMUSG00000022103,Sex,male,1,0.6085,0.5632,-0.4953,1.7124,1.17,2.8e-1,0.7146482318,0.8779142586,0.8125408804,0.1459076765,1.8377165456
Cpt1c,ENSMUSG00000007783,Sex,male,1,0.7653,0.7087,-0.6238,2.1543,1.17,2.8e-1,0.7148057923,1.1040418529,1.0224378832,0.1458119369,2.149560704
Slc52a2,ENSMUSG00000022560,Sex,male,1,-0.2960,0.2740,-0.8330,0.2411,1.17,2.8e-1,0.7148057923,-0.426965784,0.3953167528,0.1458119369,0.7438245222
Lepr,ENSMUSG00000057722,Sex,male,1,1.2482,1.1559,-1.0173,3.5137,1.17,2.8e-1,0.7148057923,1.8007737023,1.6675881885,0.1458119369,3.4840702226
Mgam,ENSMUSG00000068587,Sex,male,1,-0.4601,0.4261,-1.2952,0.3750,1.17,2.8e-1,0.7148057923,-0.6637964,0.6146906574,0.1458119369,0.6312150898
B230307C23Rik,ENSMUSG00000080717,Sex,male,1,0.4233,0.3919,-0.3448,1.1915,1.17,2.8e-1,0.7148057923,0.6107500792,0.5654118613,0.1458119369,1.5270529408
Tbcd,ENSMUSG00000039230,Sex,male,1,-0.2030,0.1880,-0.5715,0.1655,1.17,2.8e-1,0.714877194,-0.29285256,0.2712713744,0.1457685576,0.8162864645
Serpinh1,ENSMUSG00000070436,Sex,male,1,1.1186,1.0362,-0.9123,3.1494,1.17,2.8e-1,0.714877194,1.613778563,1.4948638266,0.1457685576,3.0605237487
Mrpl10,ENSMUSG00000001445,Sex,male,1,-0.1462,0.1355,-0.4119,0.1194,1.16,2.8e-1,0.7149530516,-0.210947664,0.1955496269,0.1457224758,0.8639695289
Pno1,ENSMUSG00000020116,Sex,male,1,-0.6148,0.5700,-1.7320,0.5024,1.16,2.8e-1,0.7149530516,-0.886986172,0.8223675993,0.1457224758,0.5407425645
Map4,ENSMUSG00000032479,Sex,male,1,-0.2606,0.2416,-0.7340,0.2129,1.16,2.8e-1,0.7149530516,-0.375930706,0.3484974057,0.1457224758,0.7706081205
Hlx,ENSMUSG00000039377,Sex,male,1,0.2045,0.1896,-0.1671,0.5761,1.16,2.8e-1,0.7149530516,0.2950825358,0.2735261749,0.1457224758,1.2269551687
Dnajc28,ENSMUSG00000039763,Sex,male,1,0.8484,0.7861,-0.6923,2.3891,1.16,2.8e-1,0.7149530516,1.2239804563,1.1341108335,0.1457224758,2.3359031453
Tmem221,ENSMUSG00000043664,Sex,male,1,-0.8965,0.8306,-2.5244,0.7315,1.16,2.8e-1,0.7149530516,-1.293368959,1.1983050002,0.1457224758,0.4079971673
Akr1e1,ENSMUSG00000045410,Sex,male,1,-1.0328,0.9575,-2.9095,0.8438,1.16,2.8e-1,0.7149530516,-1.490066521,1.3813906587,0.1457224758,0.3559961341
Gpc3,ENSMUSG00000055653,Sex,male,1,1.1424,1.0591,-0.9333,3.2182,1.16,2.8e-1,0.7149530516,1.6481869399,1.5279119098,0.1457224758,3.1343948666
Gm8848,ENSMUSG00000106031,Sex,male,1,1.5196,1.4081,-1.2403,4.2795,1.16,2.8e-1,0.7149530516,2.192355704,2.0315207479,0.1457224758,4.5705117319
Trbc1,ENSMUSG00000076490,Sex,male,1,0.1790,0.1660,-0.1464,0.5044,1.16,2.8e-1,0.7155203863,0.2582033052,0.2395259777,0.145377988,1.1959883241
Pde3a,ENSMUSG00000041741,Sex,male,1,0.3794,0.3520,-0.3105,1.0693,1.16,2.8e-1,0.7155236874,0.5473646877,0.5078194217,0.1453759843,1.4614137513
Tfcp2,ENSMUSG00000009733,Sex,male,1,-0.3159,0.2932,-0.8905,0.2587,1.16,2.8e-1,0.7157749069,-0.455762632,0.4229615442,0.1452235308,0.7291246429
Dnase2a,ENSMUSG00000003812,Sex,male,1,-0.2527,0.2347,-0.7127,0.2073,1.16,2.8e-1,0.7159375553,-0.364606191,0.3385957266,0.1451248556,0.7766808547
Tram1,ENSMUSG00000025935,Sex,male,1,-0.1217,0.1130,-0.3432,0.0998,1.16,2.8e-1,0.7159375553,-0.175549199,0.1630431598,0.1451248556,0.885430393
Fgf13,ENSMUSG00000031137,Sex,male,1,-0.6710,0.6230,-1.8920,0.5501,1.16,2.8e-1,0.7159375553,-0.967988968,0.8988104823,0.1451248556,0.5112181744
Pmepa1,ENSMUSG00000038400,Sex,male,1,-0.5417,0.5029,-1.5273,0.4440,1.16,2.8e-1,0.7159375553,-0.781436193,0.7255538388,0.1451248556,0.5817873396
